question_id,image_A,image_B,image_C,image_D
1,cluster1_unknown_113.287469_23.125908_270.jpg,cluster1_红胜街_113.271599_23.135766_90.jpg,cluster3_unknown_113.28668_23.123335_0.jpg,cluster3_东堤四马路_113.273918_23.119277_0.jpg
2,cluster1_盘福大街_113.254695_23.138039_0.jpg,cluster2_unknown_113.24738_23.164544_0.jpg,cluster2_站前路_113.250292_23.149338_90.jpg,cluster5_大通路_113.305733_23.112227_90.jpg
3,cluster1_unknown_113.288105_23.140589_270.jpg,cluster1_unknown_113.288815_23.126779_90.jpg,cluster1_江岭西_113.289331_23.123448_270.jpg,cluster4_中山四路_113.267494_23.128894_180.jpg
4,cluster1_淘金坑路_113.281309_23.141783_0.jpg,cluster2_环市西路_113.250731_23.149947_180.jpg,cluster3_unknown_113.282894_23.123146_0.jpg,"cluster5_['大南路', '文明路']_113.259215_23.121844_270.jpg"
5,cluster1_unknown_113.287583_23.12858_90.jpg,cluster2_人民北路_113.251878_23.142874_180.jpg,cluster4_中山三路_113.277023_23.129699_180.jpg,cluster5_白云路_113.276885_23.120461_0.jpg
6,cluster1_unknown_113.255543_23.117434_90.jpg,cluster2_环市西路_113.25256_23.14944_90.jpg,cluster3_东川路_113.280615_23.123388_0.jpg,cluster4_环市中路_113.269683_23.142336_270.jpg
7,cluster2_unknown_113.249622_23.160185_90.jpg,cluster4_unknown_113.26191_23.138444_180.jpg,cluster5_广九大马路_113.276543_23.120058_270.jpg,cluster5_环市东路_113.291631_23.137063_180.jpg
8,cluster2_unknown_113.24898_23.159237_0.jpg,cluster2_广园西路辅路_113.243772_23.150497_270.jpg,cluster3_菜园西_113.28513_23.125685_90.jpg,cluster5_白云路_113.276885_23.120461_180.jpg
9,cluster1_淘金北路_113.282494_23.143713_270.jpg,cluster1_爱国路_113.284731_23.14007_90.jpg,cluster4_unknown_113.272622_23.133166_0.jpg,cluster4_unknown_113.297892_23.157138_180.jpg
10,cluster1_unknown_113.305094_23.122396_270.jpg,cluster3_东华东路_113.284196_23.124245_90.jpg,cluster4_unknown_113.266609_23.133716_180.jpg,cluster5_unknown_113.265742_23.128411_270.jpg
11,cluster1_建设六马路_113.279822_23.135666_180.jpg,cluster2_unknown_113.243987_23.152554_180.jpg,cluster3_中山六路_113.255119_23.127993_270.jpg,cluster4_unknown_113.293374_23.150485_270.jpg
12,cluster1_unknown_113.309589_23.121453_270.jpg,cluster1_北校场横路_113.275909_23.139404_0.jpg,cluster2_unknown_113.256238_23.148321_270.jpg,cluster4_unknown_113.273155_23.13129_270.jpg
13,cluster1_建设大马路_113.275924_23.140843_0.jpg,cluster3_unknown_113.255119_23.127929_90.jpg,cluster3_中山五路_113.258763_23.128032_270.jpg,cluster5_梅东路辅路_113.302329_23.137114_90.jpg
14,cluster1_百灵路_113.255351_23.133456_180.jpg,cluster4_麓景西路_113.269515_23.148184_180.jpg,cluster5_吉祥路_113.260235_23.131774_90.jpg,cluster5_大通路_113.293858_23.113595_90.jpg
15,cluster2_unknown_113.24972_23.150818_180.jpg,cluster4_unknown_113.272145_23.133578_180.jpg,cluster4_unknown_113.277858_23.146518_270.jpg,cluster4_unknown_113.284924_23.147589_0.jpg
16,cluster1_南堤二马路_113.264671_23.117781_270.jpg,cluster2_unknown_113.25179_23.148051_0.jpg,cluster2_大北立交_113.256617_23.148303_90.jpg,cluster3_东华北路_113.286344_23.125362_180.jpg
17,cluster2_unknown_113.250125_23.160606_0.jpg,cluster4_unknown_113.296299_23.127814_90.jpg,cluster5_unknown_113.266128_23.132407_180.jpg,cluster5_白云路_113.277813_23.121636_270.jpg
18,cluster1_东风东路_113.281067_23.133558_0.jpg,cluster2_环市西路_113.250731_23.149947_90.jpg,cluster3_东园横路_113.270322_23.120473_90.jpg,cluster3_挹翠路_113.272756_23.119362_0.jpg
19,cluster1_unknown_113.276691_23.120562_270.jpg,cluster3_unknown_113.256816_23.128048_180.jpg,cluster4_东皋大道_113.275775_23.130537_270.jpg,cluster4_东风中路_113.271759_23.133775_0.jpg
20,cluster1_unknown_113.289134_23.128903_0.jpg,cluster2_unknown_113.246517_23.163775_180.jpg,cluster2_unknown_113.24898_23.159237_90.jpg,cluster2_内环路-广园广花放射线_113.244109_23.152571_180.jpg
21,cluster1_盘福立交_113.253153_23.134811_0.jpg,cluster3_中山三路_113.277995_23.129601_0.jpg,cluster5_unknown_113.263365_23.130122_0.jpg,cluster5_unknown_113.283973_23.120766_90.jpg
22,cluster4_恒福路_113.293607_23.150884_90.jpg,cluster5_unknown_113.296854_23.137641_180.jpg,cluster5_unknown_113.303697_23.137856_90.jpg,cluster5_吉祥路_113.260163_23.131418_180.jpg
23,cluster2_人民北路_113.251877_23.142485_180.jpg,"cluster3_['文德东路', '聚仁坊']_113.266942_23.123808_270.jpg",cluster3_文德路_113.266778_23.12506_0.jpg,cluster4_杨箕大街_113.308452_23.129182_270.jpg
24,cluster3_惠福西路_113.249466_23.123504_180.jpg,cluster5_unknown_113.263365_23.130122_180.jpg,cluster5_unknown_113.309042_23.11196_180.jpg,cluster5_东华南路_113.280875_23.121827_180.jpg
25,cluster2_unknown_113.243714_23.151689_90.jpg,cluster2_unknown_113.246383_23.157827_90.jpg,cluster4_unknown_113.288948_23.155309_0.jpg,cluster5_仁生里_113.268286_23.132082_270.jpg
26,cluster2_unknown_113.246383_23.157827_0.jpg,cluster3_东华西路_113.280792_23.124569_270.jpg,cluster3_东沙角路_113.273893_23.118972_180.jpg,cluster4_unknown_113.289508_23.158373_90.jpg
27,cluster2_广园西路_113.249874_23.159984_0.jpg,cluster3_中山六路_113.249251_23.127857_270.jpg,cluster3_中山六路_113.25214_23.127884_0.jpg,cluster5_广九大马路_113.276645_23.120143_180.jpg
28,cluster1_农林下路一横路_113.290909_23.13119_90.jpg,cluster1_竹丝岗北直街_113.287146_23.131822_270.jpg,cluster2_unknown_113.25527_23.148592_0.jpg,cluster2_内环路-广园广花放射线_113.244067_23.152017_270.jpg
29,"cluster3_['广九大马路', '越秀南路', '筑横沙桥']_113.27403_23.120777_270.jpg",cluster3_万福路_113.26699_23.122477_90.jpg,cluster4_unknown_113.293374_23.150485_0.jpg,cluster5_仁生里_113.268286_23.132082_0.jpg
30,cluster1_unknown_113.287106_23.129339_90.jpg,cluster1_东濠涌高架_113.275735_23.14356_180.jpg,cluster1_山河后街_113.295228_23.120873_0.jpg,cluster4_小北路_113.266383_23.134008_0.jpg
31,cluster3_大德路_113.257308_23.120807_90.jpg,"cluster4_['中山一立交', '中山一路']_113.30829_23.132057_180.jpg",cluster5_中山五路_113.258703_23.128153_0.jpg,cluster5_大通路_113.305733_23.112227_180.jpg
32,cluster2_unknown_113.256311_23.148727_180.jpg,cluster2_广园西路_113.244456_23.153743_90.jpg,cluster3_人民路高架_113.247608_23.121932_180.jpg,cluster5_潭月街_113.296714_23.112217_0.jpg
33,cluster2_unknown_113.2559_23.14301_90.jpg,cluster3_unknown_113.283802_23.123941_270.jpg,cluster4_环市中路_113.269114_23.142432_270.jpg,cluster5_吉祥路_113.260152_23.130004_90.jpg
34,cluster1_unknown_113.255543_23.117434_180.jpg,cluster2_unknown_113.244109_23.15296_270.jpg,cluster3_东川一街_113.282599_23.125733_180.jpg,cluster5_unknown_113.261954_23.131875_270.jpg
35,cluster1_东风西路_113.242774_23.136639_90.jpg,cluster4_unknown_113.262428_23.14642_90.jpg,cluster4_unknown_113.27286_23.132632_90.jpg,cluster4_皋园_113.27666_23.130403_90.jpg
36,cluster2_unknown_113.246516_23.164183_180.jpg,cluster3_东华南路_113.282563_23.12323_90.jpg,cluster4_unknown_113.289935_23.158202_270.jpg,cluster4_unknown_113.299323_23.157599_180.jpg
37,cluster2_unknown_113.248075_23.162776_180.jpg,cluster2_unknown_113.251751_23.146973_180.jpg,cluster3_德政中路_113.270057_23.125287_90.jpg,cluster5_unknown_113.309072_23.112172_90.jpg
38,cluster1_unknown_113.249112_23.134967_180.jpg,cluster2_环市西路_113.249241_23.150667_90.jpg,cluster3_unknown_113.249098_23.126715_90.jpg,cluster5_先烈中路_113.292919_23.142611_270.jpg
39,"cluster3_['文德东路', '聚仁坊']_113.270009_23.123886_0.jpg",cluster4_unknown_113.272771_23.132995_270.jpg,cluster4_恒安路_113.27607_23.145118_180.jpg,cluster5_unknown_113.283214_23.120877_90.jpg
40,cluster1_三育路_113.29376_23.131846_0.jpg,cluster1_沿江西路_113.255121_23.113501_0.jpg,cluster3_万福路_113.264494_23.121224_180.jpg,cluster4_unknown_113.297912_23.129984_90.jpg
41,cluster2_unknown_113.248103_23.164166_180.jpg,cluster3_大德路_113.249293_23.119206_180.jpg,cluster3_德政中路_113.270057_23.125287_270.jpg,cluster4_中山一路立交_113.307807_23.133345_90.jpg
42,cluster1_环市中路_113.273374_23.142056_90.jpg,cluster2_unknown_113.255918_23.143162_90.jpg,cluster3_内环路_113.283841_23.123699_270.jpg,cluster5_东风中路_113.257909_23.134157_0.jpg
43,cluster1_建设大马路_113.275924_23.140843_90.jpg,cluster4_unknown_113.302714_23.130564_270.jpg,cluster4_中山三路_113.273421_23.129541_0.jpg,"cluster5_['仓边路', '小北路']_113.266208_23.132361_0.jpg"
44,cluster1_unknown_113.2427_23.136452_0.jpg,cluster2_unknown_113.249713_23.150725_180.jpg,cluster3_东华东路_113.284638_23.124152_0.jpg,cluster3_人民路高架_113.247723_23.119599_90.jpg
45,cluster1_unknown_113.257746_23.114663_90.jpg,cluster4_仁安新街_113.266438_23.138251_0.jpg,"cluster5_['晓雾街（临时封闭）', '晓雾街']_113.300187_23.113139_270.jpg",cluster5_unknown_113.266245_23.133357_90.jpg
46,cluster1_unknown_113.287679_23.126138_270.jpg,cluster2_unknown_113.24179_23.169774_0.jpg,cluster2_unknown_113.243087_23.16524_0.jpg,cluster2_unknown_113.248816_23.164171_180.jpg
47,cluster1_unknown_113.294793_23.127671_270.jpg,cluster1_unknown_113.304691_23.121284_90.jpg,cluster4_unknown_113.277871_23.146401_270.jpg,cluster5_unknown_113.293312_23.137024_180.jpg
48,cluster1_unknown_113.290273_23.126685_0.jpg,cluster3_unknown_113.286137_23.125228_270.jpg,cluster3_东华北路_113.284687_23.124552_270.jpg,cluster5_东风中路_113.260263_23.134028_180.jpg
49,cluster1_侨光西路_113.260832_23.115976_180.jpg,cluster1_侨光西路_113.260832_23.115976_90.jpg,cluster3_unknown_113.285523_23.124528_90.jpg,cluster3_文明路_113.272118_23.125288_90.jpg
50,cluster1_建设横马路_113.278006_23.135667_270.jpg,cluster5_unknown_113.288563_23.140747_180.jpg,cluster5_unknown_113.28915_23.146828_90.jpg,cluster5_白云路_113.278998_23.122048_270.jpg
51,cluster3_八旗二马路_113.270592_23.118657_90.jpg,cluster4_东皋大道_113.275939_23.131132_180.jpg,cluster5_unknown_113.278825_23.121976_0.jpg,cluster5_unknown_113.291022_23.140839_90.jpg
52,cluster1_环市中路_113.274184_23.141867_0.jpg,cluster4_unknown_113.266646_23.138452_0.jpg,cluster4_unknown_113.272342_23.129415_0.jpg,cluster5_东风中路_113.257053_23.134385_90.jpg
53,cluster3_菜园西_113.28513_23.125685_270.jpg,"cluster5_['东川路', '白云路']_113.280575_23.123159_180.jpg",cluster5_unknown_113.277231_23.119852_270.jpg,cluster5_大沙头三马路_113.280235_23.118728_270.jpg
54,cluster2_解放北路_113.256157_23.145939_270.jpg,cluster3_万福路_113.272447_23.12345_90.jpg,cluster4_东风东路_113.302274_23.134571_0.jpg,"cluster5_['云鹤北街', '云鹤南街']_113.296513_23.145466_0.jpg"
55,cluster1_人民南路_113.24844_23.113819_270.jpg,cluster1_西华路_113.246409_23.132399_180.jpg,cluster4_环市中路_113.269015_23.142464_270.jpg,cluster5_unknown_113.288265_23.140407_270.jpg
56,cluster1_unknown_113.260589_23.118042_0.jpg,cluster2_unknown_113.251711_23.16124_270.jpg,cluster3_人民中路_113.247665_23.120547_0.jpg,cluster4_恒福路辅路_113.285093_23.146552_90.jpg
57,cluster1_unknown_113.25178_23.140881_90.jpg,cluster1_解放北路_113.256582_23.13909_270.jpg,cluster4_unknown_113.270232_23.142314_0.jpg,cluster5_晴波路_113.313136_23.113789_90.jpg
58,cluster1_unknown_113.292415_23.12096_180.jpg,cluster3_广州起义路_113.258854_23.127191_180.jpg,cluster4_unknown_113.269616_23.142276_180.jpg,cluster5_沿江东路_113.275806_23.117578_270.jpg
59,cluster1_unknown_113.289134_23.128903_90.jpg,cluster2_unknown_113.250356_23.160821_90.jpg,cluster4_unknown_113.267889_23.142949_0.jpg,cluster5_unknown_113.30816_23.137576_180.jpg
60,cluster2_unknown_113.240898_23.154384_180.jpg,cluster3_万福路_113.272447_23.12345_270.jpg,cluster3_沿江中路_113.273811_23.118017_0.jpg,cluster5_白云路_113.276885_23.120461_270.jpg
61,cluster1_内环路_113.289959_23.126669_270.jpg,cluster1_盘福立交_113.253509_23.134849_180.jpg,cluster4_unknown_113.287149_23.14709_270.jpg,cluster4_unknown_113.301351_23.129658_90.jpg
62,cluster2_unknown_113.243434_23.152354_0.jpg,cluster3_unknown_113.285422_23.123857_180.jpg,cluster3_中山二路_113.285584_23.127557_270.jpg,cluster3_中山五路_113.257961_23.128117_0.jpg
63,cluster1_一德路_113.249913_23.114957_180.jpg,cluster1_淘金路_113.282536_23.139903_180.jpg,cluster2_内环路_113.2479_23.150347_0.jpg,cluster4_恒福路辅路_113.285093_23.146552_270.jpg
64,cluster1_一德路_113.251777_23.115366_90.jpg,cluster2_unknown_113.251946_23.149373_180.jpg,cluster5_unknown_113.282268_23.122657_90.jpg,cluster5_大沙头三马路_113.279947_23.117902_0.jpg
65,cluster1_一德路_113.256195_23.116348_180.jpg,cluster2_前进北街_113.242696_23.164729_180.jpg,cluster4_水均南街_113.301098_23.133235_0.jpg,cluster5_晴波路_113.30241_23.109878_180.jpg
66,cluster1_unknown_113.288232_23.137949_270.jpg,cluster1_东湖路_113.282861_23.115469_90.jpg,cluster2_内环路-广园广花放射线_113.244109_23.152571_90.jpg,cluster5_东湖路_113.282393_23.115107_0.jpg
67,cluster1_淘金路_113.288406_23.143732_180.jpg,cluster3_挹翠路_113.273011_23.120947_90.jpg,cluster4_小北路_113.266565_23.138842_180.jpg,cluster5_先烈中路辅路_113.296496_23.145783_180.jpg
68,cluster1_淘金北路_113.282494_23.143713_180.jpg,cluster2_站南路_113.251306_23.147466_90.jpg,cluster4_小北路_113.266267_23.135079_270.jpg,cluster5_unknown_113.288357_23.13794_90.jpg
69,cluster1_unknown_113.292948_23.129483_180.jpg,cluster3_unknown_113.267559_23.118342_90.jpg,cluster3_大德路_113.249293_23.119206_0.jpg,cluster3_解放中路_113.257001_23.125832_90.jpg
70,cluster2_环市西路_113.252659_23.14958_270.jpg,cluster3_广州起义路_113.258925_23.125557_270.jpg,cluster5_先烈中路_113.296738_23.145783_270.jpg,cluster5_禺西二路_113.26899_23.12992_180.jpg
71,"cluster1_['旧部前', '卖麻街']_113.251609_23.115809_180.jpg",cluster1_unknown_113.255975_23.138634_90.jpg,cluster3_沿江中路_113.265766_23.117621_180.jpg,cluster3_解放中路_113.257327_23.123146_180.jpg
72,cluster1_建设横马路_113.278606_23.13567_180.jpg,cluster3_unknown_113.28582_23.125128_180.jpg,cluster3_文德路_113.266706_23.125037_270.jpg,cluster5_东湖路_113.283463_23.119432_270.jpg
73,cluster4_unknown_113.283098_23.148947_90.jpg,cluster5_unknown_113.288689_23.137633_270.jpg,cluster5_unknown_113.30359_23.138847_0.jpg,cluster5_大沙头三马路_113.279898_23.11792_0.jpg
74,cluster2_unknown_113.2559_23.14301_180.jpg,cluster2_人民北路_113.251646_23.147281_0.jpg,cluster4_unknown_113.290695_23.149289_180.jpg,cluster5_广卫路_113.262175_23.13009_90.jpg
75,cluster2_unknown_113.24792_23.15674_90.jpg,cluster3_北京路_113.26448_23.121278_180.jpg,cluster4_中山四路_113.267494_23.128894_270.jpg,cluster5_东风中路_113.258291_23.134259_270.jpg
